gene	ratio
YHR020W	0.0109
YDL198C	0.0187
YMR205C	0.0453
YDL192W	0.0625
YBR249C	0.0738
YPL271W	0.0955
YDR418W	0.1905
YPL198W	0.2128
YDL145C	0.2911
YJR139C	0.3162
YOL086C	0.4018
YFL039C	0.4613
YDR382W	0.4656
YMR186W	0.4831
YAL054C	0.5012
YDL168W	0.5058
YKL081W	0.52
YGR155W	0.5248
YAL038W	0.5297
YIL155C	0.5495
YER120W	0.5649
YLL018C	0.5649
YLR340W	0.5702
YDR171W	0.5754
YLR264W	0.5754
YOR173W	0.5808
YCL040W	0.5916
YML063W	0.597
YMR090W	0.597
YDL130W	0.6026
YKL085W	0.6026
YNL239W	0.6026
YDR019C	0.6081
YFL022C	0.6252
YDL084W	0.631
YNL209W	0.631
YPR074C	0.631
YDR427W	0.6368
YBL024W	0.6427
YGL103W	0.6486
YPR043W	0.6486
YDR012W	0.6546
YJL189W	0.6546
YML028W	0.6546
YOL151W	0.6607
YOR063W	0.6607
YPR080W	0.6607
YDL160C	0.673
YPR062W	0.673
YBL027W	0.6855
YLR355C	0.6855
YKR057W	0.6918
YHR208W	0.6982
YLR075W	0.7047
YMR246W	0.7047
YNL079C	0.7047
YCR083W	0.7178
YDR033W	0.7178
YGL206C	0.7178
YBL015W	0.7244
YKL056C	0.7244
YLL026W	0.7244
YOR096W	0.7244
YGR130C	0.7311
YGR175C	0.7311
YLR441C	0.7379
YDR224C	0.7447
YDR346C	0.7447
YML073C	0.7447
YHL015W	0.7516
YPL239W	0.7516
YIR038C	0.7586
YMR120C	0.7586
YOL121C	0.7586
YKL080W	0.7656
YPL048W	0.7656
YDR533C	0.7727
YIL041W	0.7727
YKL117W	0.7727
YKL157W	0.7727
YLR295C	0.7727
YMR307W	0.7727
YPL037C	0.7727
YBR196C	0.7798
YDL125C	0.7798
YOL126C	0.7798
YDL126C	0.787
YGR234W	0.787
YIL133C	0.787
YJR069C	0.787
YLR028C	0.787
YLR388W	0.7943
YGR124W	0.8017
YML004C	0.8017
YNL134C	0.8017
YDL046W	0.8091
YLR303W	0.8091
YNR035C	0.8091
YBR072W	0.8166
YCL037C	0.8166
YDR148C	0.8166
YGL135W	0.8166
YLR325C	0.8166
YBR009C	0.8241
YDR225W	0.8241
YLR216C	0.8241
YNL016W	0.8241
YCR004C	0.8318
YDR529C	0.8318
YLR250W	0.8318
YOR065W	0.8318
YPR160W	0.8318
YGL008C	0.8395
YPR016C	0.8395
YDL083C	0.8472
